witness_qualified	witness_module	failure_class	error_message	reference_bare_name	selected_decl_module	selected_decl_params	candidate_decl_modules	scope_module_count	scope_ambiguous_bare_names
test.claim.spark_capability_observation_witness_test.w_the_exact_principal_gets_its_own_answer	test.claim.spark_capability_observation_witness_test	call_contract_mismatch	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])	observation	test.claim.roadmap_forecast_witness	id, cell, duration_ms	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	909	82
test.claim.spark_capability_observation_witness_test.w_a_probe_that_may_have_established_the_subject_is_not_evidence	test.claim.spark_capability_observation_witness_test	call_contract_mismatch	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])	observation	test.claim.roadmap_forecast_witness	id, cell, duration_ms	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	909	82
test.claim.spark_capability_observation_witness_test.w_an_inert_probe_of_durable_state_is_evidence	test.claim.spark_capability_observation_witness_test	call_contract_mismatch	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])	observation	test.claim.roadmap_forecast_witness	id, cell, duration_ms	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	909	82
test.claim.spark_capability_observation_witness_test.w_an_absence_survives_a_self_establishing_probe	test.claim.spark_capability_observation_witness_test	call_contract_mismatch	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])	observation	test.claim.roadmap_forecast_witness	id, cell, duration_ms	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	909	82
test.claim.spark_capability_observation_witness_test.red_control_unclassified_probe_effect_refuses	test.claim.spark_capability_observation_witness_test	call_contract_mismatch	call contract mismatch calling 'observation': no parameter named 'host' (declared: [id, cell, duration_ms])	observation	test.claim.roadmap_forecast_witness	id, cell, duration_ms	test.claim.roadmap_forecast_witness|test.claim.spark_capability_observation_witness_test	909	82
test.claim.spark_serving_realization_witness_test.w_granting_sudo_does_not_upgrade_an_already_satisfied_intent	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_the_already_satisfied_host_selects_the_less_privileged_mechanism	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_privilege_enables_when_nothing_else_can_satisfy_the_intent	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_selection_is_not_constant_across_genuinely_different_hosts	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_user_unit_refused_when_it_cannot_satisfy_the_lifecycle	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_unobserved_capability_refuses_rather_than_admitting	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_system_unit_selected_when_it_is_the_only_admitted_mechanism	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_no_managed_executor_refuses_under_managed_authority	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.red_control_privilege_does_not_select_the_architecture	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_user_unit_is_structurally_inadmissible_under_a_separated_service_identity	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_user_unit_is_admissible_when_the_intent_does_not_require_separation	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.w_the_identity_refusal_needs_no_host_observation	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_realization_witness_test.red_control_system_unit_satisfies_the_identity_contract	test.claim.spark_serving_realization_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_an_absent_spark_with_the_existing_grant_is_ready_to_apply	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_the_same_absent_host_is_blocked_when_the_grant_is_missing	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_converged_host_is_no_change_even_with_no_grants	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_an_unobservable_host_blocks_on_observation_not_privilege	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_plan_row_applicable_requires_change_and_privilege	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_user_unit_is_inadmissible_under_a_no_login_identity_intent	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_the_intent_decides_admissibility_of_the_same_realization	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_an_inadmissible_realization_is_not_applicable	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_system_unit_under_the_no_login_intent_blocks_on_privilege	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_grant_observed_on_another_host_does_not_authorize_this_one	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_grant_observed_for_another_principal_does_not_authorize_this_one	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_evidence_mismatch_and_unobservability_are_different_answers	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_a_grant_observed_under_another_credential_does_not_authorize_the_plan	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_the_same_grant_under_the_expected_credential_is_ready_to_apply	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_an_unobserved_record_for_another_host_is_a_mismatch_not_an_observation_block	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spark_serving_release_witness_test.w_an_unobserved_record_for_this_host_blocks_on_observation	test.claim.spark_serving_release_witness_test	call_contract_mismatch	call contract mismatch calling 'process_identity_eq': no parameter named 'left' (declared: [a, b])	process_identity_eq	gunbc.runner_connectivity_recovery	a, b	gunbc.runner_connectivity_recovery|gunbc.spark_serving_realization	909	81
test.claim.spatial_knowledge_witness.spatial_knowledge_witnesses	test.claim.spatial_knowledge_witness	call_contract_mismatch	call contract mismatch calling 'admits': no parameter named 'dimension' (declared: [coverage])	admits	test.claim.check_coverage_admission_witness	coverage	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	909	84
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_shell_failure_refuses_typed	test.claim.srv3_host_effect_apply_witness	other	returned Bool(false)					910	91
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_surfaces_captured_stdout_not_fabricated	test.claim.srv3_host_effect_apply_witness	other	returned Bool(false)					910	91
test.claim.srv3_host_effect_apply_witness.witness_srv3_apply_failure_no_fabricated_stdout	test.claim.srv3_host_effect_apply_witness	other	returned Bool(false)					910	91
test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_true_by_real_execution	test.claim.srv3_install_media_fetch_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					908	76
test.claim.srv3_install_media_fetch_real_execution.install_media_hash_matches_false_on_wrong_hash_by_real_execution	test.claim.srv3_install_media_fetch_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					908	76
test.claim.srv3_install_media_fetch_real_execution.observe_install_media_fetch_covers_absent_verified_and_mismatch_by_real_execution	test.claim.srv3_install_media_fetch_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					908	76
test.claim.srv3_seeded_install_media_real_execution.install_media_remaster_ensure_grub_cmdline_inserts_by_real_execution	test.claim.srv3_seeded_install_media_real_execution	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					903	51
test.claim.srv3_subsumption.srv3_reconcile_adds_exactly_the_missing_fleet_key	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.srv3_subsumption.srv3_reconcile_refuses_both_unowned_keys_never_teardown	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.srv3_subsumption.srv4_reconcile_is_converged_empty_plan	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.srv3_subsumption.srv3_and_srv4_disagree_on_convergence	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.srv3_subsumption.reconcile_would_teardown_only_if_ownership_claimed_it	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.srv3_subsumption.comment_only_drift_is_one_change_not_remove_add	test.claim.srv3_subsumption	other	type error: atom_identity_hash requires exactly one string argument					911	97
test.claim.stage0_rust_honest_frontier_integration_witness.honest_frontier_integration_joins_c1_and_c2	test.claim.stage0_rust_honest_frontier_integration_witness	other	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					915	50
test.claim.structured_application_mismatch_wall_witness.structured_single_authority_at_mechanism_field_accepts	test.claim.structured_application_mismatch_wall_witness	other	exceeded Cpu budget (877ms elapsed against 500ms)					910	97
test.claim.transport_script_wall_compile_red.wall_red_string_join_into_retained_record_refuses	test.claim.transport_script_wall_compile_red	other	exceeded Cpu budget (1848ms elapsed against 500ms)					910	97
test.claim.transport_script_wall_compile_red.wall_red_deleted_free_minter_refuses	test.claim.transport_script_wall_compile_red	other	exceeded Cpu budget (1828ms elapsed against 500ms)					910	97
test.claim.typed_witness_invocation.typed_is_executable_positive_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_is_executable_negative_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_argv_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_nonzero_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_args_splice_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_workdir_anchors_root_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_witness_bin_run_loud_failure_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_is_nonempty_positive_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation IsNonEmpty — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_is_nonempty_zero_byte_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation IsNonEmpty — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_gunbc_cli_run_claim_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_claim_batch_pooled_run_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation Run — refusing to fabricate Unit					89	1
test.claim.typed_witness_invocation.typed_claim_executor_verify_build_artifacts_red_control_holds	test.claim.typed_witness_invocation	other	type error: hermetic mode: no mock_response for operation VerifyBuildArtifacts — refusing to fabricate Unit					89	1
test.claim.v1_dag_parse_witness.v1_dag_parse_witnesses	test.claim.v1_dag_parse_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
test.claim.where_refinement_enforcement_witness.where_refinement_non_empty_string_literal_accepts	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (760ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_non_literal_int_var_compile_clean	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (545ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_direct_return_var_compile_clean	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (535ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_data_init_non_literal_compile_clean	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (537ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_range_non_literal_compile_clean	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (752ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_64_accepts	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (923ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_40_accepts	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (923ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_lower_hex_16_accepts	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (906ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_refuses	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (682ms elapsed against 500ms)					910	97
test.claim.where_refinement_enforcement_witness.where_refinement_cast_literal_oci_other_digest_algorithm_accepts	test.claim.where_refinement_enforcement_witness	other	exceeded Cpu budget (2061ms elapsed against 500ms)					910	97
v2.test.lens_inert_carrier.inert_carrier_test.inert_carrier_no_unrostered_or_stale	v2.test.lens_inert_carrier.inert_carrier_test	other	returned Bool(false)					23	0
v2.test.lens_mutation_adequacy.mutation_adequacy_test.adequate_when_every_mutation_has_a_discriminating_witness	v2.test.lens_mutation_adequacy.mutation_adequacy_test	no_such_function	no such function: unit_is_discriminating	unit_is_discriminating				66	0
v2.test.lens_mutation_adequacy.mutation_adequacy_test.surviving_mutation_is_inadequate	v2.test.lens_mutation_adequacy.mutation_adequacy_test	no_such_function	no such function: unit_is_discriminating	unit_is_discriminating				66	0
v2.test.lens_testgen.generator_provenance.lens_testgen_scheduled_generators_carry_provenance_holds	v2.test.lens_testgen.generator_provenance	other	witness receipt wall budget exceeded: 503ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					108	0
v2.test.lens_testgen.shadow_ci_receipt.lens_testgen_shadow_ci_run_receipt_holds	v2.test.lens_testgen.shadow_ci_receipt	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					108	0
v2.test.lens_vacuity.vacuity_test.vacuity_rung5_emit_vs_eval_classifies_proven_independent	v2.test.lens_vacuity.vacuity_test	no_such_function	no such function: nat_add_left_identity_input	nat_add_left_identity_input				884	44
v2.test.lens_vacuity.vacuity_test.vacuity_unified_node_corpus_matches_transport_classifier	v2.test.lens_vacuity.vacuity_test	no_such_function	no such function: nat_add_left_identity_input	nat_add_left_identity_input				884	44
v2.test.lens_vacuity.vacuity_test.vacuity_falsification_cases_each_match_expected_evidence	v2.test.lens_vacuity.vacuity_test	no_such_function	no such function: nat_add_left_identity_input	nat_add_left_identity_input				884	44
v2.test.lens_vacuity.vacuity_test.vacuity_advisory_census_partitions_falsification_suite	v2.test.lens_vacuity.vacuity_test	no_such_function	no such function: nat_add_left_identity_input	nat_add_left_identity_input				884	44
v2.test.lens_vacuity.vacuity_test.vacuity_falsification_suite_nonempty	v2.test.lens_vacuity.vacuity_test	no_such_function	no such function: nat_add_left_identity_input	nat_add_left_identity_input				884	44
v2.test.claim.auth_declared_but_unwired_witness.auth_declared_but_unwired_witness_keystone_holds	v2.test.claim.auth_declared_but_unwired_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
v2.test.claim.body_lowering.atom_body_discriminator_witness.atom_body_discriminator_single_pass_receipt_holds	v2.test.claim.body_lowering.atom_body_discriminator_witness	other	witness receipt wall budget exceeded: 511ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)					125	0
v2.test.claim.bootstrap.bootstrap_witness_keystone_holds	v2.test.claim.bootstrap	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					915	97
v2.test.claim.byte_cardinality_grounding.byte_grounding_accepts_8_bits	v2.test.claim.byte_cardinality_grounding	other	non-exhaustive pattern match on: [1, 0, 1, 0, 1, 0, 1, 0]					909	96
v2.test.claim.byte_cardinality_grounding.byte_grounding_rejects_7_bits	v2.test.claim.byte_cardinality_grounding	other	non-exhaustive pattern match on: [1, 0, 1, 0, 1, 0, 1]					909	96
v2.test.claim.cardinality_fold_propagation.fold_within_bound_accepts	v2.test.claim.cardinality_fold_propagation	other	non-exhaustive pattern match on: 200					910	97
v2.test.claim.cardinality_fold_propagation.fold_overflow_rejects	v2.test.claim.cardinality_fold_propagation	other	non-exhaustive pattern match on: 300					910	97
v2.test.claim.compilation_unit_witness.declared_fields_only_is_the_accepted_control	v2.test.claim.compilation_unit_witness	other	exceeded Cpu budget (786ms elapsed against 500ms)					910	88
v2.test.claim.compiler_materialization_witness.parse_table_carrier_inhabits_realization	v2.test.claim.compiler_materialization_witness	undefined_variable	undefined variable: LocalInProcess	LocalInProcess				910	97
v2.test.claim.compiler_materialization_witness.compile_stage_carrier_inhabits_realization	v2.test.claim.compiler_materialization_witness	undefined_variable	undefined variable: LocalInProcess	LocalInProcess				910	97
v2.test.claim.effect_reach_test.effect_reach_path_data_init_derived_host_reading_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 3891ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
v2.test.claim.effect_reach_test.effect_reach_path_data_init_red_when_import_severed_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 2040ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
v2.test.claim.effect_reach_test.effect_reach_path_touch_selects_on_normalize_path_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 1975ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
v2.test.claim.effect_reach_test.effect_reach_unrelated_path_does_not_select_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 1902ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
v2.test.claim.effect_reach_test.effect_reach_hermetic_fixture_stays_local_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 1898ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
v2.test.claim.effect_reach_test.effect_reach_prose_string_path_does_not_classify_holds	v2.test.claim.effect_reach_test	other	eval budget exceeded: 1880ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					910	55
